delta;qdRe1;qdRe2;qdRe3;qdRe4;qdIm1;qdIm2;qdIm3;qdIm4
9.9999999999999995e-07;0.00027787086356388879;7.4519890642207445e-06;-7.4519890642203295e-06;-0.00027787086356388814;1.3906701131263904e-06;1.8636883592157014e-08;-1.8636883582469577e-08;-1.3906701131249729e-06
1.0139254075588142e-06;0.00027787156030184031;7.5036862753284346e-06;-7.503686275318133e-06;-0.00027787156030184004;1.3906701613686096e-06;1.8766222773641508e-08;-1.8766222890552109e-08;-1.3906701614797183e-06
1.0280447320933098e-06;0.00027787226673860692;7.5557419972969521e-06;-7.5557419972981337e-06;-0.00027787226673860687;1.3906702103720084e-06;1.8896456288219215e-08;-1.8896456179066761e-08;-1.3906702102605126e-06
1.0423606739764011e-06;0.00027787298300914953;7.6081587137864099e-06;-7.6081587137906772e-06;-0.00027787298300915088;1.3906702600352291e-06;1.902759645610159e-08;-1.9027596350206646e-08;-1.3906702599225272e-06
1.056875971184805e-06;0.00027787370925030469;7.6609389253059172e-06;-7.660938925303842e-06;-0.00027787370925030555;1.39067031036697e-06;1.9159649499918701e-08;-1.915964961298729e-08;-1.3906703104795407e-06
1.0715933998226711e-06;0.00027787444560081179;7.7140851497133752e-06;-7.7140851497110424e-06;-0.0002778744456008133;1.390670361489062e-06;1.9292615851948917e-08;-1.9292615851045418e-08;-1.3906703614892113e-06
1.0865157746525372e-06;0.00027787519220134291;7.7675999223240565e-06;-7.7675999223198857e-06;-0.00027787519220134264;1.3906704133000487e-06;1.9426507494342279e-08;-1.9426507605587563e-08;-1.3906704134090733e-06
1.101645949633657e-06;0.00027787594919451847;7.8214857958449728e-06;-7.8214857958486421e-06;-0.00027787594919451847;1.3906704659190377e-06;1.9561325175323131e-08;-1.9561325066688988e-08;-1.3906704658089952e-06
1.1169868184678225e-06;0.00027787671672494858;7.8757453405755051e-06;-7.8757453405714037e-06;-0.00027787671672494831;1.3906705192461831e-06;1.9697081098793337e-08;-1.9697080993058903e-08;-1.3906705191327362e-06
1.1325413151528126e-06;0.00027787749493925093;7.930381144646545e-06;-7.9303811446448205e-06;-0.00027787749493925039;1.3906705732891789e-06;1.9833781639418932e-08;-1.983378175843074e-08;-1.3906705734013523e-06
1.1483124145435112e-06;0.00027787828398608217;7.9853958139511636e-06;-7.9853958139508298e-06;-0.00027787828398608157;1.3906706281721561e-06;1.9971427627261191e-08;-1.9971427627315408e-08;-1.3906706281726127e-06
