delta;qdRe1;qdRe2;qdIm1;qdIm2
9.9999999999999995e-07;1.0346417888843123e-06;-1.0346417888844953e-06;1.2717161836199322e-09;-1.2717161807185771e-09
1.0139254075588142e-06;1.0454882128560555e-06;-1.0454882128559177e-06;1.2857860901172422e-09;-1.285786089211978e-09
1.0280447320933098e-06;1.0564462803388258e-06;-1.0564462803394168e-06;1.3000082234967361e-09;-1.300008224030341e-09
1.0423606739764011e-06;1.0675171198527732e-06;-1.0675171198528325e-06;1.3143841578082955e-09;-1.314384157642252e-09
1.056875971184805e-06;1.078701871123349e-06;-1.0787018711238873e-06;1.3289155591264856e-09;-1.328915559341365e-09
1.0715933998226711e-06;1.090001685175724e-06;-1.0900016851756255e-06;1.3436040638707227e-09;-1.3436040616366098e-09
1.0865157746525372e-06;1.1014177244240493e-06;-1.1014177244234369e-06;1.358451346800795e-09;-1.3584513473844175e-09
1.101645949633657e-06;1.1129511628126394e-06;-1.1129511628124677e-06;1.3734590854635176e-09;-1.3734590850592897e-09
1.1169868184678225e-06;1.1246031859056896e-06;-1.124603185906811e-06;1.3886289924800416e-09;-1.3886289919386916e-09
1.1325413151528126e-06;1.1363749910136303e-06;-1.1363749910130397e-06;1.403962778872066e-09;-1.4039627790062471e-09
1.1483124145435112e-06;1.1482677872810273e-06;-1.1482677872803031e-06;1.419462210834754e-09;-1.4194622104918882e-09
1.1643031329208755e-06;1.1602827958303636e-06;-1.1602827958296864e-06;1.4351290224567061e-09;-1.4351290197320073e-09
1.1805165285688055e-06;1.1724212498550796e-06;-1.1724212498558591e-06;1.4509649905401347e-09;-1.4509649916365123e-09
1.1969557023590428e-06;1.1846843947462583e-06;-1.1846843947453369e-06;1.4669719403670104e-09;-1.4669719391661971e-09
1.2136237983442419e-06;1.1970734881967453e-06;-1.197073488196872e-06;1.4831516591524947e-09;-1.4831516558517144e-09
1.2305240043592616e-06;1.2095898003445123e-06;-1.2095898003441824e-06;1.4995060034104935e-09;-1.4995060033044175e-09
1.2476595526308684e-06;1.2222346138501219e-06;-1.2222346138490703e-06;1.5160368188475101e-09;-1.5160368191175447e-09
1.2650337203959037e-06;1.235009224067455e-06;-1.2350092240670516e-06;1.5327459725415957e-09;-1.5327459713595548e-09
1.28264983052806e-06;1.2479149391218394e-06;-1.2479149391206421e-06;1.549635374412696e-09;-1.5496353735908141e-09
1.3005112521734099e-06;1.2609530800519156e-06;-1.2609530800515556e-06;1.5667069292492071e-09;-1.5667069286693123e-09
1.3186214013947485e-06;1.2741249809360824e-06;-1.2741249809360968e-06;1.5839625701152842e-09;-1.5839625675276728e-09
1.3369837418249452e-06;1.2874319890130909e-06;-1.2874319890134522e-06;1.6014042663292945e-09;-1.6014042630045101e-09
1.355601785329369e-06;1.3008754647910788e-06;-1.3008754647910818e-06;1.6190339888841937e-09;-1.6190339868640734e-09
1.3744790926775367e-06;1.3144567822083877e-06;-1.3144567822086136e-06;1.6368537296323946e-09;-1.6368537265885742e-09
1.3936192742241435e-06;1.3281773287296155e-06;-1.3281773287285353e-06;1.6548655177873036e-09;-1.6548655176242819e-09
1.4130259905995336e-06;1.3420385055037826e-06;-1.3420385055053198e-06;1.673071379271379e-09;-1.6730713780960462e-09
1.4327029534098294e-06;1.3560417274574747e-06;-1.3560417274577197e-06;1.691473381310985e-09;-1.6914733796051293e-09
1.4526539259467812e-06;1.3701884234791552e-06;-1.3701884234788911e-06;1.7100736190004092e-09;-1.7100736200036963e-09
1.4728827239075018e-06;1.384480036487758e-06;-1.3844800364883954e-06;1.7288741735460894e-09;-1.7288741714716344e-09
1.4933932161242533e-06;1.3989180236308116e-06;-1.3989180236311284e-06;1.7478772010418213e-09;-1.7478772003669746e-09
1.514189325304352e-06;1.4135038563797728e-06;-1.4135038563789906e-06;1.7670848269434023e-09;-1.7670848267445321e-09
1.5352750287804212e-06;1.4282390206803005e-06;-1.4282390206813112e-06;1.7864992298727193e-09;-1.7864992271900183e-09
1.556654359271062e-06;1.443125017084082e-06;-1.4431250170818583e-06;1.8061226172924975e-09;-1.8061226166186722e-09
1.5783314056521166e-06;1.4581633608994547e-06;-1.4581633608979332e-06;1.8259571897928773e-09;-1.8259571869520267e-09
1.6003103137387017e-06;1.4733555823227047e-06;-1.4733555823229622e-06;1.8460052037237281e-09;-1.8460052013983946e-09
1.6225952870780872e-06;1.4887032265848302e-06;-1.4887032265852325e-06;1.8662689037062879e-09;-1.8662689050092541e-09
1.6451905877536607e-06;1.5042078540980661e-06;-1.5042078540985705e-06;1.8867505986687691e-09;-1.88675059949132e-09
1.6681005372000591e-06;1.5198710405928778e-06;-1.5198710405946741e-06;1.9074526020229972e-09;-1.9074526038650267e-09
